,country_code,country_name,year,skill_type_digital,pen_percentage
309,fr,France,2020,other,76.71322567
310,fr,France,2021,digital-basic,4.782082324
311,fr,France,2021,digital-applied,8.504842615
312,fr,France,2021,digital-software_and_hardware,6.870460048
313,fr,France,2021,digital-disruptive,6.144067797
314,fr,France,2021,other,73.69854722
315,gb,United Kingdom,2015,digital-basic,2.140672783
316,gb,United Kingdom,2015,digital-applied,10.49311927
317,gb,United Kingdom,2015,digital-software_and_hardware,6.049311927
318,gb,United Kingdom,2015,digital-disruptive,1.873088685
319,gb,United Kingdom,2015,other,79.44380734
320,gb,United Kingdom,2016,digital-basic,2.425578831
321,gb,United Kingdom,2016,digital-applied,10.57331863
322,gb,United Kingdom,2016,digital-software_and_hardware,6.240352811
323,gb,United Kingdom,2016,digital-disruptive,2.491730981
324,gb,United Kingdom,2016,other,78.26901874
325,gb,United Kingdom,2017,digital-basic,3.409715857
326,gb,United Kingdom,2017,digital-applied,10.88909258
327,gb,United Kingdom,2017,digital-software_and_hardware,5.921173236
328,gb,United Kingdom,2017,digital-disruptive,3.703024748
329,gb,United Kingdom,2017,other,76.07699358
330,gb,United Kingdom,2018,digital-basic,3.885372714
331,gb,United Kingdom,2018,digital-applied,10.88255978
332,gb,United Kingdom,2018,digital-software_and_hardware,5.977496484
333,gb,United Kingdom,2018,digital-disruptive,3.568917018
334,gb,United Kingdom,2018,other,75.68565401
335,gb,United Kingdom,2019,digital-basic,2.414021164
336,gb,United Kingdom,2019,digital-applied,11.1276455
337,gb,United Kingdom,2019,digital-software_and_hardware,6.117724868
338,gb,United Kingdom,2019,digital-disruptive,4.695767196
339,gb,United Kingdom,2019,other,75.64484127
340,gb,United Kingdom,2020,digital-basic,2.244725738
341,gb,United Kingdom,2020,digital-applied,10.16033755
342,gb,United Kingdom,2020,digital-software_and_hardware,5.991561181
343,gb,United Kingdom,2020,digital-disruptive,5.367088608
344,gb,United Kingdom,2020,other,76.23628692
345,gb,United Kingdom,2021,digital-basic,2.983104541
346,gb,United Kingdom,2021,digital-applied,9.714889124
347,gb,United Kingdom,2021,digital-software_and_hardware,5.755015839
348,gb,United Kingdom,2021,digital-disruptive,5.095036959
349,gb,United Kingdom,2021,other,76.45195354
350,glo,Global,2015,digital-basic,5.367877105
351,glo,Global,2015,digital-applied,8.475410412
352,glo,Global,2015,digital-software_and_hardware,7.846170071
353,glo,Global,2015,digital-disruptive,3.831686997
354,glo,Global,2015,other,74.47885542
355,glo,Global,2016,digital-basic,5.606398523
356,glo,Global,2016,digital-applied,8.978697224
357,glo,Global,2016,digital-software_and_hardware,8.894101361
358,glo,Global,2016,digital-disruptive,4.721987234
359,glo,Global,2016,other,71.79881566
360,glo,Global,2017,digital-basic,6.546288014
361,glo,Global,2017,digital-applied,9.129025045
362,glo,Global,2017,digital-software_and_hardware,9.000447227
363,glo,Global,2017,digital-disruptive,6.065518784
364,glo,Global,2017,other,69.25872093
365,glo,Global,2018,digital-basic,6.706823244
366,glo,Global,2018,digital-applied,9.116217858
367,glo,Global,2018,digital-software_and_hardware,8.74670986
368,glo,Global,2018,digital-disruptive,6.155092124
369,glo,Global,2018,other,69.27515691
370,glo,Global,2019,digital-basic,5.472368362
371,glo,Global,2019,digital-applied,9.384414767
372,glo,Global,2019,digital-software_and_hardware,8.637978326
373,glo,Global,2019,digital-disruptive,7.14960205
374,glo,Global,2019,other,69.35563649
375,glo,Global,2020,digital-basic,4.893774933
376,glo,Global,2020,digital-applied,8.484089433
377,glo,Global,2020,digital-software_and_hardware,8.975786251
378,glo,Global,2020,digital-disruptive,7.686241766
379,glo,Global,2020,other,69.96010762
380,glo,Global,2021,digital-basic,4.820578273
381,glo,Global,2021,digital-applied,8.158656914
382,glo,Global,2021,digital-software_and_hardware,9.248441412
383,glo,Global,2021,digital-disruptive,7.564675274
384,glo,Global,2021,other,70.20764813
385,id,Indonesia,2015,digital-basic,8.577405858
386,id,Indonesia,2015,digital-applied,12.55230126
387,id,Indonesia,2015,digital-software_and_hardware,8.368200837
388,id,Indonesia,2015,digital-disruptive,2.510460251
389,id,Indonesia,2015,other,67.9916318
390,id,Indonesia,2016,digital-basic,8.223350254
391,id,Indonesia,2016,digital-applied,14.01015228
392,id,Indonesia,2016,digital-software_and_hardware,8.121827411
393,id,Indonesia,2016,digital-disruptive,3.350253807
394,id,Indonesia,2016,other,66.29441624
395,id,Indonesia,2017,digital-basic,8.538011696
396,id,Indonesia,2017,digital-applied,15.55555556
397,id,Indonesia,2017,digital-software_and_hardware,8.771929825
398,id,Indonesia,2017,digital-disruptive,5.497076023
399,id,Indonesia,2017,other,61.6374269
400,id,Indonesia,2018,digital-basic,10.056926
401,id,Indonesia,2018,digital-applied,15.08538899
402,id,Indonesia,2018,digital-software_and_hardware,6.831119545
403,id,Indonesia,2018,digital-disruptive,4.838709677
404,id,Indonesia,2018,other,63.18785579
405,id,Indonesia,2019,digital-basic,9.411764706
406,id,Indonesia,2019,digital-applied,13.33333333
407,id,Indonesia,2019,digital-software_and_hardware,6.431372549
408,id,Indonesia,2019,digital-disruptive,5.725490196
409,id,Indonesia,2019,other,65.09803922
410,id,Indonesia,2020,digital-basic,9.649702578
411,id,Indonesia,2020,digital-applied,12.82220753
412,id,Indonesia,2020,digital-software_and_hardware,8.790482485
413,id,Indonesia,2020,digital-disruptive,6.411103767
414,id,Indonesia,2020,other,62.32650364
415,id,Indonesia,2021,digital-basic,8.152173913
416,id,Indonesia,2021,digital-applied,15.52795031
417,id,Indonesia,2021,digital-software_and_hardware,8.152173913
418,id,Indonesia,2021,digital-disruptive,5.279503106
419,id,Indonesia,2021,other,62.88819876
420,ie,Ireland,2015,digital-basic,2.352941176
421,ie,Ireland,2015,digital-applied,6.117647059
422,ie,Ireland,2015,digital-software_and_hardware,7.058823529
423,ie,Ireland,2015,digital-disruptive,4.470588235
424,ie,Ireland,2015,other,80
425,ie,Ireland,2016,digital-basic,3.418803419
426,ie,Ireland,2016,digital-applied,7.407407407
427,ie,Ireland,2016,digital-software_and_hardware,7.407407407
428,ie,Ireland,2016,digital-disruptive,4.273504274
429,ie,Ireland,2016,other,77.49287749
430,ie,Ireland,2017,digital-basic,4
431,ie,Ireland,2017,digital-applied,4
432,ie,Ireland,2017,digital-software_and_hardware,14.4
433,ie,Ireland,2017,digital-disruptive,13.6
434,ie,Ireland,2017,other,64
435,ie,Ireland,2018,digital-basic,8.092485549
436,ie,Ireland,2018,digital-applied,6.936416185
437,ie,Ireland,2018,digital-software_and_hardware,12.13872832
438,ie,Ireland,2018,digital-disruptive,8.092485549
439,ie,Ireland,2018,other,64.73988439
440,ie,Ireland,2019,digital-basic,9.375
441,ie,Ireland,2019,digital-applied,5.357142857
442,ie,Ireland,2019,digital-software_and_hardware,7.142857143
443,ie,Ireland,2019,digital-disruptive,7.589285714
444,ie,Ireland,2019,other,70.53571429
445,ie,Ireland,2020,digital-basic,8
446,ie,Ireland,2020,digital-applied,6.4
447,ie,Ireland,2020,digital-software_and_hardware,12
448,ie,Ireland,2020,digital-disruptive,12
449,ie,Ireland,2020,other,61.6
450,ie,Ireland,2021,digital-basic,8.737864078
451,ie,Ireland,2021,digital-applied,11.65048544
452,ie,Ireland,2021,digital-software_and_hardware,13.59223301
453,ie,Ireland,2021,digital-disruptive,16.50485437
454,ie,Ireland,2021,other,49.51456311
455,in,India,2015,digital-basic,3.220121756
456,in,India,2015,digital-applied,8.554950336
457,in,India,2015,digital-software_and_hardware,20.74655559
458,in,India,2015,digital-disruptive,12.22364627
459,in,India,2015,other,55.25472605
460,in,India,2016,digital-basic,2.991512453
461,in,India,2016,digital-applied,8.306664811
462,in,India,2016,digital-software_and_hardware,21.71977181
463,in,India,2016,digital-disruptive,12.75914846
464,in,India,2016,other,54.22290246
465,in,India,2017,digital-basic,3.705069124
466,in,India,2017,digital-applied,9.493087558
467,in,India,2017,digital-software_and_hardware,23.42857143
468,in,India,2017,digital-disruptive,15.28110599
469,in,India,2017,other,48.0921659
470,in,India,2018,digital-basic,3.589053387
471,in,India,2018,digital-applied,9.032451024
472,in,India,2018,digital-software_and_hardware,22.29699417
473,in,India,2018,digital-disruptive,15.02916106
474,in,India,2018,other,50.05234036
475,in,India,2019,digital-basic,2.73955774
476,in,India,2019,digital-applied,9.029484029
477,in,India,2019,digital-software_and_hardware,19.92628993
478,in,India,2019,digital-disruptive,15.62653563
479,in,India,2019,other,52.67813268
480,in,India,2020,digital-basic,2.403100775
481,in,India,2020,digital-applied,9.11406423
482,in,India,2020,digital-software_and_hardware,18.38316722
483,in,India,2020,digital-disruptive,15.63676633
484,in,India,2020,other,54.46290144
485,in,India,2021,digital-basic,2.469953629
486,in,India,2021,digital-applied,8.204788492
487,in,India,2021,digital-software_and_hardware,18.56723763
488,in,India,2021,digital-disruptive,14.24245292
489,in,India,2021,other,56.51556733
490,it,Italy,2015,digital-basic,6.055320209
491,it,Italy,2015,digital-applied,11.76177423
492,it,Italy,2015,digital-software_and_hardware,6.553700473
493,it,Italy,2015,digital-disruptive,3.189633691
494,it,Italy,2015,other,72.43957139
495,it,Italy,2016,digital-basic,6.789788159
496,it,Italy,2016,digital-applied,11.73275394
497,it,Italy,2016,digital-software_and_hardware,7.142857143
498,it,Italy,2016,digital-disruptive,3.585008148
499,it,Italy,2016,other,70.74959261
500,it,Italy,2017,digital-basic,8.274428274
501,it,Italy,2017,digital-applied,12.84823285
502,it,Italy,2017,digital-software_and_hardware,7.733887734
503,it,Italy,2017,digital-disruptive,4.116424116
504,it,Italy,2017,other,67.02702703
505,it,Italy,2018,digital-basic,8.684405026
506,it,Italy,2018,digital-applied,12.78640059
507,it,Italy,2018,digital-software_and_hardware,7.908351811
508,it,Italy,2018,digital-disruptive,3.91722099
509,it,Italy,2018,other,66.70362158
510,it,Italy,2019,digital-basic,5.892143808
511,it,Italy,2019,digital-applied,11.1517976
512,it,Italy,2019,digital-software_and_hardware,6.491344874
513,it,Italy,2019,digital-disruptive,4.727030626
514,it,Italy,2019,other,71.73768309
515,it,Italy,2020,digital-basic,4.12893879
516,it,Italy,2020,digital-applied,9.05469033
517,it,Italy,2020,digital-software_and_hardware,6.338283231
518,it,Italy,2020,digital-disruptive,3.658094893
519,it,Italy,2020,other,76.81999276
520,it,Italy,2021,digital-basic,4.301075269
521,it,Italy,2021,digital-applied,11.20543294
522,it,Italy,2021,digital-software_and_hardware,7.357102434
523,it,Italy,2021,digital-disruptive,4.018109791
524,it,Italy,2021,other,73.11827957
525,jp,Japan,2015,digital-basic,0.584795322
526,jp,Japan,2015,digital-applied,8.187134503
527,jp,Japan,2015,digital-software_and_hardware,14.61988304
528,jp,Japan,2015,digital-disruptive,14.03508772
529,jp,Japan,2015,other,62.57309942
530,jp,Japan,2016,digital-basic,0
531,jp,Japan,2016,digital-applied,3.278688525
532,jp,Japan,2016,digital-software_and_hardware,20.49180328
533,jp,Japan,2016,digital-disruptive,20.49180328
534,jp,Japan,2016,other,55.73770492
535,jp,Japan,2017,digital-basic,0
536,jp,Japan,2017,digital-applied,7.843137255
